"Search Blog...","Search Blog..."
"Go to Home Page","Go to Home Page"
"Go to %1", "Go to %1"
"Search Results for '%1'", "Search Results for '%1'"
"Sorry, no results were found for that query.", "Sorry, no results were found for that query."
"Home", "Home"
"Filter builder must implement %1","Filter builder must implement %1"
"Specify field name to add filter by","Specify field name to add filter by"
"Search not allowed","Search not allowed"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Maximum Search query length is %1","Maximum Search query length is %1"
"Search query cannot be empty","Search query cannot be empty"
